"Old Path","Old URL","New URL","Associated Type","Associated ID"
/plants/pencil-cactus/,http://houston-interior-plants.mybigcommerce.com/plants/pencil-cactus/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/pencil-cactus/,Product,111
/plants/lady-palm-or-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/plants/lady-palm-or-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/lady-palm-or-rhapis-palm/,Product,112
/plants/phoenix-roebelenii/,http://houston-interior-plants.mybigcommerce.com/plants/phoenix-roebelenii/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/phoenix-roebelenii/,Product,113
/plants/8-ficus-lyrata-fiddle-feaf-fig/,http://houston-interior-plants.mybigcommerce.com/plants/8-ficus-lyrata-fiddle-feaf-fig/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/8-ficus-lyrata-fiddle-feaf-fig/,Product,114
/plants/dracaena-draco/,http://houston-interior-plants.mybigcommerce.com/plants/dracaena-draco/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/dracaena-draco/,Product,115
/plants/parlor-palm/,http://houston-interior-plants.mybigcommerce.com/plants/parlor-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/parlor-palm/,Product,116
/plants/small-lady-palm-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/plants/small-lady-palm-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/small-lady-palm-rhapis-palm/,Product,117
/plants/jade-plant/,http://houston-interior-plants.mybigcommerce.com/plants/jade-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/jade-plant/,Product,118
/plants/warneckii-goldstar/,http://houston-interior-plants.mybigcommerce.com/plants/warneckii-goldstar/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/warneckii-goldstar-medium/,Product,119
/plants/medium-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/plants/medium-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/medium-closet-plant-peace-lily/,Product,120
/plants/areca-palm/,http://houston-interior-plants.mybigcommerce.com/plants/areca-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/areca-palm/,Product,121
/plants/large-sansevieria/,http://houston-interior-plants.mybigcommerce.com/plants/large-sansevieria/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-sansevieria/,Product,122
/plants/philodendron-monstera/,http://houston-interior-plants.mybigcommerce.com/plants/philodendron-monstera/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/philodendron-monstera/,Product,124
